"butter,""bad"",""certain"",""appropriate"",""package"",""away"",""slow"",""free"",""numeral"",""fought"",""cold"",""gave"",""establish"",""apartment"",""doing"",""round"",""feed"",""gas"",""situation"",""rubber"",""open"",""finger"",""quiet"",""die"",""ranch"",""rocky"",""speech"",""voyage"",""edge"",""shorter"",""are"",""range"",""stop"",""blew"",""pour"",""vessels"",""taken"",""cast"",""oldest"",""changing"",""foreign"",""steam"",""running"",""lunch"",""drove"",""forest"",""follow"",""line"",""frequently"",""imagine"",""because"",""she"",""support"",""environment"",""roll"",""system"",""tape"",""declared"",""rhythm"""
"military,""say"",""finger"",""flight"",""ill"",""wish"",""use"",""second"",""surrounded"",""energy"",""behind"",""strange"",""honor"",""loud"",""hurried"",""triangle"",""missing"",""square"",""drawn"",""package"",""brought"",""flower"",""fish"",""example"",""heading"",""clay"",""church"",""concerned"",""gave"",""pure"",""three"",""earn"",""monkey"",""favorite"",""consonant"",""pony"",""shoe"",""face"",""once"",""bread"",""cry"",""luck"",""possible"",""month"",""hold"",""fun"",""simplest"",""week"",""person"",""floating"",""pleasant"",""film"",""percent"",""torn"",""root"",""river"",""class"",""combine"",""higher"""
"record,""peace"",""review"",""trip"",""sale"",""way"",""empty"",""younger"",""rapidly"",""sugar"",""ourselves"",""parent"",""health"",""lungs"",""other"",""yet"",""chapter"",""thrown"",""around"",""adjective"",""nothing"",""fish"",""trunk"",""wild"",""become"",""partly"",""closer"",""heading"",""arrow"",""poet"",""screen"",""troops"",""angle"",""every"",""bar"",""smooth"",""chicken"",""aboard"",""treated"",""screen"",""spite"",""throughout"",""central"",""police"",""experience"",""development"",""white"",""element"",""mysterious"",""score"",""mass"",""oldest"",""sit"",""explore"",""remarkable"",""nearest"",""cause"",""proud"",""person"""
"ruler,""bat"",""curve"",""law"",""black"",""failed"",""education"",""explanation"",""owner"",""electric"",""slightly"",""pond"",""chosen"",""raise"",""nearly"",""society"",""any"",""smell"",""also"",""factor"",""fierce"",""why"",""contrast"",""brass"",""boat"",""piece"",""toy"",""weight"",""several"",""gentle"",""cast"",""rabbit"",""dot"",""poet"",""short"",""design"",""eight"",""coming"",""clock"",""poetry"",""form"",""crop"",""difficulty"",""held"",""go"",""blind"",""final"",""shirt"",""system"",""western"",""hay"",""sink"",""ourselves"",""former"",""influence"",""sink"",""blank"",""column"",""attached"""
"ground,""hurt"",""put"",""very"",""captured"",""friendly"",""slight"",""field"",""free"",""whispered"",""gulf"",""attention"",""day"",""twenty"",""method"",""coming"",""should"",""brush"",""golden"",""policeman"",""asleep"",""like"",""section"",""bark"",""carried"",""another"",""symbol"",""increase"",""money"",""yourself"",""chest"",""freedom"",""usual"",""private"",""rising"",""copy"",""eight"",""result"",""truth"",""average"",""sell"",""zero"",""unhappy"",""milk"",""drew"",""nearest"",""sail"",""title"",""wall"",""donkey"",""was"",""straight"",""primitive"",""canal"",""pull"",""tell"",""football"",""eleven"",""upper"""
"thousand,""yet"",""teeth"",""land"",""gather"",""loose"",""worse"",""wait"",""sick"",""butter"",""alive"",""bridge"",""oldest"",""carried"",""wrote"",""if"",""then"",""transportation"",""die"",""its"",""century"",""sitting"",""sum"",""asleep"",""higher"",""swung"",""signal"",""vegetable"",""egg"",""perfectly"",""riding"",""helpful"",""traffic"",""handsome"",""report"",""indicate"",""information"",""yourself"",""cattle"",""sleep"",""mostly"",""sets"",""central"",""airplane"",""having"",""valley"",""ten"",""chapter"",""should"",""bee"",""piece"",""today"",""poetry"",""son"",""eat"",""third"",""eat"",""soap"",""upon"""
"science,""use"",""too"",""light"",""what"",""sleep"",""open"",""indicate"",""field"",""community"",""arrow"",""try"",""she"",""high"",""supper"",""needed"",""voyage"",""sleep"",""could"",""road"",""characteristic"",""cream"",""method"",""central"",""instrument"",""region"",""standard"",""influence"",""coming"",""walk"",""move"",""during"",""fairly"",""since"",""just"",""left"",""tears"",""taught"",""coast"",""settle"",""sign"",""meant"",""white"",""hungry"",""after"",""highway"",""prepare"",""stopped"",""say"",""been"",""may"",""related"",""him"",""length"",""birds"",""trail"",""written"",""spent"",""queen"""
"sick,""volume"",""income"",""flow"",""whole"",""shoe"",""become"",""least"",""moving"",""winter"",""poetry"",""huge"",""thing"",""wash"",""elephant"",""thank"",""once"",""religious"",""bare"",""sheep"",""right"",""doing"",""noun"",""steep"",""drawn"",""forgotten"",""sure"",""remove"",""soft"",""continent"",""get"",""them"",""immediately"",""why"",""maybe"",""closely"",""rice"",""national"",""shown"",""represent"",""phrase"",""settlers"",""attack"",""bow"",""soil"",""term"",""what"",""pictured"",""stream"",""flight"",""hungry"",""near"",""meat"",""thick"",""smallest"",""bare"",""grow"",""pot"",""fish"""
"exact,""easy"",""sale"",""belong"",""upper"",""ocean"",""won"",""any"",""news"",""discuss"",""hidden"",""thee"",""were"",""gradually"",""lack"",""machinery"",""leader"",""group"",""helpful"",""instead"",""did"",""stairs"",""man"",""satellites"",""soap"",""guess"",""aboard"",""in"",""actual"",""couple"",""shoe"",""led"",""wet"",""brave"",""idea"",""however"",""help"",""headed"",""canal"",""steel"",""harbor"",""library"",""loud"",""sent"",""agree"",""older"",""please"",""establish"",""yesterday"",""one"",""avoid"",""against"",""solve"",""surrounded"",""missing"",""funny"",""section"",""introduced"",""frame"""
"adjective,""own"",""apartment"",""he"",""likely"",""smaller"",""sunlight"",""breathing"",""color"",""else"",""bus"",""break"",""were"",""replace"",""whale"",""combine"",""day"",""too"",""dull"",""wing"",""believed"",""would"",""if"",""ancient"",""step"",""mission"",""recognize"",""member"",""owner"",""wing"",""needle"",""grandmother"",""journey"",""increase"",""ready"",""duck"",""hit"",""clay"",""stranger"",""town"",""globe"",""dirty"",""building"",""broad"",""brass"",""mirror"",""driver"",""tight"",""cent"",""atomic"",""forty"",""salt"",""drive"",""naturally"",""climb"",""corner"",""every"",""shoe"",""welcome"""
"does,""student"",""met"",""help"",""love"",""pure"",""got"",""how"",""wonder"",""cutting"",""dollar"",""influence"",""mile"",""basic"",""gather"",""zoo"",""future"",""doing"",""way"",""topic"",""felt"",""southern"",""here"",""found"",""expect"",""solar"",""truth"",""tip"",""change"",""smell"",""outline"",""hat"",""wagon"",""ability"",""unit"",""trick"",""library"",""near"",""last"",""one"",""diagram"",""fifty"",""shirt"",""shoulder"",""guide"",""swept"",""surprise"",""blind"",""field"",""difference"",""meal"",""hung"",""universe"",""grass"",""thing"",""produce"",""factor"",""here"",""hall"""
"group,""better"",""loss"",""tube"",""brother"",""provide"",""state"",""gas"",""everyone"",""branch"",""through"",""swept"",""trouble"",""give"",""plain"",""spell"",""announced"",""round"",""science"",""wore"",""nose"",""red"",""sum"",""article"",""anything"",""supper"",""must"",""whale"",""sad"",""ball"",""atmosphere"",""eat"",""parent"",""worker"",""develop"",""soldier"",""material"",""building"",""conversation"",""could"",""represent"",""becoming"",""whole"",""sleep"",""beginning"",""work"",""certainly"",""slow"",""fuel"",""ask"",""flew"",""ill"",""easier"",""finger"",""church"",""gold"",""mouse"",""tobacco"",""pencil"""
"weigh,""contrast"",""sort"",""newspaper"",""egg"",""return"",""neighborhood"",""is"",""sent"",""refer"",""speak"",""making"",""pupil"",""whispered"",""ate"",""hall"",""attempt"",""seed"",""recognize"",""frog"",""ourselves"",""turn"",""her"",""believed"",""pole"",""rhythm"",""quite"",""news"",""anywhere"",""tower"",""composed"",""look"",""section"",""monkey"",""tales"",""teeth"",""amount"",""paint"",""language"",""factory"",""announced"",""arrive"",""steel"",""few"",""sold"",""active"",""but"",""beside"",""fox"",""serve"",""force"",""station"",""its"",""usual"",""aside"",""gift"",""between"",""printed"",""local"""
"leader,""shallow"",""term"",""mind"",""number"",""fox"",""gently"",""blind"",""refused"",""dried"",""catch"",""shallow"",""union"",""farther"",""about"",""trace"",""speech"",""cutting"",""ear"",""gradually"",""becoming"",""cat"",""depend"",""feet"",""six"",""let"",""foreign"",""family"",""support"",""slowly"",""identity"",""hurry"",""industry"",""condition"",""alphabet"",""earn"",""verb"",""thy"",""usually"",""surprise"",""remove"",""changing"",""excited"",""mostly"",""themselves"",""unhappy"",""bare"",""doing"",""studied"",""beside"",""century"",""silk"",""day"",""driving"",""refused"",""mathematics"",""copy"",""expect"",""mathematics"""
"driving,""meet"",""examine"",""trade"",""see"",""feed"",""said"",""greater"",""about"",""sweet"",""branch"",""closer"",""lucky"",""lamp"",""ear"",""directly"",""clear"",""street"",""observe"",""fuel"",""fifty"",""alone"",""discovery"",""giving"",""steam"",""trip"",""nation"",""stomach"",""bill"",""made"",""also"",""smallest"",""shape"",""price"",""sure"",""automobile"",""bat"",""nobody"",""shinning"",""lonely"",""along"",""directly"",""crowd"",""total"",""military"",""blank"",""younger"",""good"",""dirty"",""cut"",""service"",""step"",""ask"",""heard"",""up"",""enjoy"",""improve"",""running"",""met"""
"spend,""hole"",""silver"",""fifth"",""suit"",""rice"",""back"",""tin"",""sheep"",""electricity"",""tell"",""curve"",""massage"",""appropriate"",""refer"",""wheel"",""farmer"",""spirit"",""inside"",""willing"",""announced"",""uncle"",""west"",""they"",""major"",""bit"",""afraid"",""split"",""bowl"",""official"",""larger"",""entirely"",""jar"",""hang"",""anything"",""massage"",""fine"",""check"",""terrible"",""chose"",""replace"",""age"",""enemy"",""gravity"",""fly"",""reason"",""older"",""give"",""sum"",""horn"",""human"",""couple"",""pool"",""ride"",""policeman"",""purpose"",""getting"",""combine"",""not"""
"flies,""gently"",""happened"",""kill"",""cat"",""positive"",""naturally"",""dress"",""saved"",""duck"",""dead"",""review"",""pony"",""then"",""massage"",""forth"",""movement"",""farmer"",""broad"",""round"",""begun"",""known"",""soft"",""teacher"",""surface"",""independent"",""let"",""friend"",""monkey"",""ride"",""forward"",""charge"",""lion"",""die"",""great"",""paint"",""canal"",""military"",""life"",""last"",""stage"",""track"",""railroad"",""independent"",""rocket"",""discovery"",""suddenly"",""dish"",""uncle"",""magic"",""point"",""large"",""jar"",""throughout"",""news"",""finish"",""victory"",""end"",""atmosphere"""
"include,""protection"",""factory"",""joy"",""number"",""layers"",""member"",""percent"",""review"",""butter"",""sent"",""office"",""which"",""product"",""pet"",""within"",""increase"",""exercise"",""account"",""excitement"",""brother"",""sides"",""expect"",""particular"",""driving"",""fifteen"",""forth"",""child"",""announced"",""shape"",""them"",""independent"",""practical"",""noun"",""dozen"",""suddenly"",""difference"",""question"",""height"",""open"",""night"",""land"",""visitor"",""lying"",""bicycle"",""former"",""egg"",""carbon"",""for"",""tower"",""nor"",""raw"",""love"",""afraid"",""walk"",""political"",""flat"",""rush"",""sheet"""
"chamber,""even"",""introduced"",""sale"",""cheese"",""composed"",""summer"",""fairly"",""wide"",""terrible"",""them"",""pet"",""shop"",""danger"",""swept"",""practical"",""made"",""wonderful"",""underline"",""needs"",""writer"",""sang"",""enter"",""bottom"",""science"",""diameter"",""cent"",""fourth"",""dried"",""waste"",""board"",""chicken"",""sink"",""yes"",""course"",""man"",""dish"",""physical"",""judge"",""reason"",""tongue"",""popular"",""characteristic"",""shirt"",""beat"",""outside"",""cost"",""law"",""method"",""cell"",""comfortable"",""been"",""leg"",""wolf"",""force"",""zoo"",""have"",""visitor"",""believed"""
"or,""joy"",""yourself"",""blanket"",""duty"",""whole"",""until"",""heat"",""music"",""possibly"",""fair"",""introduced"",""monkey"",""shaking"",""supply"",""rule"",""cloth"",""wonder"",""thou"",""mail"",""wolf"",""lion"",""shown"",""recent"",""sheet"",""talk"",""wife"",""his"",""fewer"",""forward"",""atmosphere"",""interior"",""under"",""piece"",""gain"",""rocket"",""chair"",""quiet"",""label"",""nails"",""official"",""bottom"",""single"",""mostly"",""home"",""direct"",""mill"",""naturally"",""ocean"",""firm"",""game"",""loud"",""evidence"",""die"",""period"",""many"",""toy"",""cloth"",""willing"""
"let,""spread"",""graph"",""folks"",""automobile"",""rhythm"",""ranch"",""flag"",""neighbor"",""exactly"",""phrase"",""exact"",""cost"",""standard"",""soap"",""syllable"",""fur"",""question"",""curve"",""story"",""note"",""break"",""moon"",""bet"",""white"",""mainly"",""learn"",""harder"",""refer"",""mix"",""rather"",""happen"",""between"",""object"",""kept"",""floating"",""willing"",""free"",""burst"",""radio"",""article"",""gold"",""duty"",""pupil"",""damage"",""interest"",""baby"",""row"",""warn"",""thus"",""horse"",""direct"",""nine"",""improve"",""meant"",""wool"",""church"",""establish"",""article"""
"stock,""thus"",""sky"",""occasionally"",""book"",""small"",""care"",""about"",""dirt"",""ability"",""idea"",""kept"",""just"",""air"",""what"",""never"",""note"",""bag"",""solid"",""continued"",""policeman"",""owner"",""brown"",""every"",""without"",""manner"",""has"",""last"",""dot"",""jump"",""dried"",""catch"",""trail"",""palace"",""particular"",""twice"",""passage"",""terrible"",""voyage"",""lonely"",""wet"",""nobody"",""hollow"",""shut"",""atmosphere"",""trace"",""against"",""wash"",""copper"",""tall"",""mixture"",""express"",""hundred"",""becoming"",""building"",""fifteen"",""sent"",""chart"",""better"""
